Sci,year,vessel,AreaSwept,Lat,Lon,LAT,LON,Wt
Forage_fish,2002,1,0.24333251,59.7608,-167.9987,59.7608,-167.9987,10.474
Forage_fish,2002,1,0.218818016,60.0052,-170.045,60.0052,-170.045,9.416
Forage_fish,2002,1,0.227039841,60.0083,-170.5287,60.0083,-170.5287,13.954
Forage_fish,2002,1,0.305012068,60.0102,-169.5343,60.0102,-169.5343,19.864
Forage_fish,2002,1,0.251091694,60.0103,-168.5125,60.0103,-168.5125,22.053
Forage_fish,2002,1,0.217687141,60.0133,-169.0175,60.0133,-169.0175,23.43
Forage_fish,2002,1,0.244178099,60.0187,-167.9983,60.0187,-167.9983,299.999
Forage_fish,2002,1,0.231830352,61.0003,-168.954,61.0003,-168.954,23.294
Forage_fish,2002,1,0.299131693,61.0007,-172.4678,61.0007,-172.4678,37.015
Forage_fish,2002,1,0.219040455,61.0007,-169.4648,61.0007,-169.4648,12.294
Forage_fish,2002,1,0.254052881,61.0007,-168.4688,61.0007,-168.4688,36.70301
Forage_fish,2002,1,0.245470059,61.0008,-167.9793,61.0008,-167.9793,5.767
Forage_fish,2002,1,0.207105834,61.001,-167.474,61.001,-167.474,13.259
Forage_fish,2002,1,0.191266631,61.0015,-166.957,61.0015,-166.957,22.478
Forage_fish,2002,1,0.214684033,61.0052,-169.9602,61.0052,-169.9602,10.864
Forage_fish,2002,1,0.237696998,61.0068,-170.4642,61.0068,-170.4642,6.766
Forage_fish,2002,1,0.250579737,61.0083,-170.9685,61.0083,-170.9685,10.671
Forage_fish,2002,1,0.213819132,61.0148,-171.4737,61.0148,-171.4737,16.321
Forage_fish,2002,1,0.355391627,61.015,-169.9778,61.015,-169.9778,14.264
Forage_fish,2002,1,0.326758879,61.5092,-170.0067,61.5092,-170.0067,14.388
Forage_fish,2002,1,0.227014619,61.986,-166.9987,61.986,-166.9987,246.412
Forage_fish,2002,1,0.261385044,61.9942,-167.4663,61.9942,-167.4663,12.637
Forage_fish,2002,1,0.362183716,61.995,-169.9775,61.995,-169.9775,29.766
Forage_fish,2002,1,0.260007784,61.9993,-168.0417,61.9993,-168.0417,10.65
Forage_fish,2002,1,0.252148564,61.9994,-168.526,61.9994,-168.526,11.943
Forage_fish,2002,1,0.259754016,61.9997,-169.0362,61.9997,-169.0362,3.284
Forage_fish,2002,1,0.225566827,61.9998,-169.5407,61.9998,-169.5407,0.475
Forage_fish,2002,1,0.348234022,62.0058,-172.4432,62.0058,-172.4432,34.78
Forage_fish,2002,1,0.228141947,62.0073,-169.9703,62.0073,-169.9703,1.337
Forage_fish,2002,1,0.2423569,62.0078,-171.9588,62.0078,-171.9588,31.96
Forage_fish,2002,1,0.224843352,62.0083,-170.9727,62.0083,-170.9727,32.049
Forage_fish,2002,1,0.256753534,62.01,-171.4695,62.01,-171.4695,34.934
Forage_fish,2002,1,0.299655076,62.0103,-171.0113,62.0103,-171.0113,57.29
Forage_fish,2002,1,0.235829619,62.0263,-170.4848,62.0263,-170.4848,3.7
Forage_fish,2002,1,0.330538872,62.7183,-170.0117,62.7183,-170.0117,19.854
Forage_fish,2002,1,0.25608748,62.7477,-169.483,62.7477,-169.483,0.784
Forage_fish,2002,1,0.266961762,62.8575,-168.9902,62.8575,-168.9902,4.585
Forage_fish,2002,1,0.243178278,62.9037,-168.4762,62.9037,-168.4762,5.152
Forage_fish,2002,1,0.259092688,62.9992,-165.7333,62.9992,-165.7333,0.958
Forage_fish,2002,1,0.24880694,63.0003,-165.9718,63.0003,-165.9718,6.513
Forage_fish,2002,1,0.252647963,63.0007,-166.9782,63.0007,-166.9782,82.325
Forage_fish,2002,1,0.223409258,63.0008,-170.4712,63.0008,-170.4712,0.999
Forage_fish,2002,1,0.246164205,63.0008,-166.5155,63.0008,-166.5155,26.92
Forage_fish,2002,1,0.261003435,63.001,-167.479,63.001,-167.479,5.296
Forage_fish,2002,1,0.242251517,63.0053,-167.976,63.0053,-167.976,0.49
Forage_fish,2002,1,0.2506137,63.013,-171.4882,63.013,-171.4882,0.463
Forage_fish,2002,1,0.214018361,63.0145,-172.4947,63.0145,-172.4947,4.009
Forage_fish,2002,1,0.311918693,63.0267,-172.5167,63.0267,-172.5167,17.404
Forage_fish,2002,1,0.26914811,64,-169.5217,64,-169.5217,16.775
Forage_fish,2002,1,0.253307683,64,-168.5297,64,-168.5297,2.975
Forage_fish,2002,1,0.217945678,64.0002,-171.5265,64.0002,-171.5265,29.478
Forage_fish,2002,1,0.243172015,64.0002,-171.015,64.0002,-171.015,0
Forage_fish,2002,1,0.264449563,64.0002,-170.5285,64.0002,-170.5285,10.683
Forage_fish,2002,1,0.217057355,64.0002,-166.0347,64.0002,-166.0347,0.66
Forage_fish,2002,1,0.245612311,64.0005,-169.0285,64.0005,-169.0285,12.135
Forage_fish,2002,1,0.220790658,64.0008,-168.0187,64.0008,-168.0187,0.264
Forage_fish,2002,1,0.242165486,64.0008,-166.5257,64.0008,-166.5257,1.754
Forage_fish,2002,1,0.280518987,64.001,-170.0213,64.001,-170.0213,5.489
Forage_fish,2002,1,0.235829936,64.001,-167.528,64.001,-167.528,1.68
Forage_fish,2002,1,0.286329167,64.0012,-172.0305,64.0012,-172.0305,1.681
Forage_fish,2002,1,0.199078357,64.0963,-164.5148,64.0963,-164.5148,88.369
Forage_fish,2002,1,0.233195393,64.0995,-163.9808,64.0995,-163.9808,86.522
Forage_fish,2002,1,0.22942583,65.0138,-167.5458,65.0138,-167.5458,59.507
Forage_fish,2002,1,0.229580035,65.0162,-169.0098,65.0162,-169.0098,1.341
Forage_fish,2002,1,0.238445661,65.0193,-169.5095,65.0193,-169.5095,0.42
Forage_fish,2002,1,0.213971374,65.0195,-168.5155,65.0195,-168.5155,1.416
Forage_fish,2003,1,0.198483684,60.0015,-168.4582,60.0015,-168.4582,7.638
Forage_fish,2003,1,0.220594137,60.0028,-168.9637,60.0028,-168.9637,0.767
Forage_fish,2003,1,0.252197093,60.008,-169.4738,60.008,-169.4738,1.165
Forage_fish,2003,1,0.212084012,60.0087,-172.5342,60.0087,-172.5342,9.39
Forage_fish,2003,1,0.194452658,60.0095,-168.05,60.0095,-168.05,64.661
Forage_fish,2003,1,0.226411963,60.0097,-172.0463,60.0097,-172.0463,15.036
Forage_fish,2003,1,0.226086061,60.0113,-169.971,60.0113,-169.971,3.42
Forage_fish,2003,1,0.195525295,60.0128,-171.5365,60.0128,-171.5365,3.65
Forage_fish,2003,1,0.198195586,60.0173,-171.0357,60.0173,-171.0357,3.988
Forage_fish,2003,1,0.193046263,60.0233,-170.4842,60.0233,-170.4842,7.431
Forage_fish,2003,1,0.268454822,61.0018,-167.523,61.0018,-167.523,121.382
Forage_fish,2003,1,0.174112463,61.0022,-169.0448,61.0022,-169.0448,168.976
Forage_fish,2003,1,0.192268374,61.0022,-168.543,61.0022,-168.543,94.474
Forage_fish,2003,1,0.225656647,61.0027,-167.0375,61.0027,-167.0375,23.132
Forage_fish,2003,1,0.240650527,61.005,-168.04,61.005,-168.04,43.575
Forage_fish,2003,1,0.220942938,61.0092,-169.5353,61.0092,-169.5353,23.515
Forage_fish,2003,1,0.236465997,61.011,-170.0357,61.011,-170.0357,6.13
Forage_fish,2003,1,0.182918819,61.0128,-171.5545,61.0128,-171.5545,3.154
Forage_fish,2003,1,0.184111279,61.0202,-171.0442,61.0202,-171.0442,16.227
Forage_fish,2003,1,0.213896742,61.0205,-170.5337,61.0205,-170.5337,9.224
Forage_fish,2003,1,0.219179737,61.9963,-166.9642,61.9963,-166.9642,195.439
Forage_fish,2003,1,0.201716414,62.0008,-169.457,62.0008,-169.457,8.148
Forage_fish,2003,1,0.212621362,62.0008,-168.4602,62.0008,-168.4602,19.609
Forage_fish,2003,1,0.239986887,62.0008,-167.4795,62.0008,-167.4795,10.642
